dtau delta_E_D_max_2 delta_E_D_max_4 delta_E_D_max_6
0.5 0.0067832440145617215 0.004366447607248789 0.004172317085006701
0.33812166890312056 0.00663880148774223 0.00173783377782554 0.0015328967352904851
0.22865252596366312 0.007303907736711689 0.0014479114374309652 0.0005559650540515914
0.15462474735549586 0.008128966335692803 0.0010810328552578715 0.00031900929598035354
0.10456395525912729 0.012683967888030404 0.001017924908667625 0.0002818978690036544
0.07071067811865475 0.015360684304158302 0.0010565671440377884 0.00030123046998155106
0.04781762498950186 0.017384861571485676 0.0011420974004234551 0.0003698999039258815
0.03233635032886786 0.017790072847438637 0.0012354841318404151 0.0004634165659428563
0.021867241478865564 0.0137652822134927 0.0014714838487886815 0.0005306570966933556
0.014787576366283134 0.01806554357062761 0.0017820891990888825 0.0006256731535714905
0.01 0.016419210303415876 0.0021394689784144647 0.0007585686026403399
