dtau delta_E_D_max_2 delta_E_D_max_4 delta_E_D_max_6
0.5 0.006712070529375211 0.004037818714146631 0.004022337165127167
0.33812166890312056 0.004747863301908641 0.0013742105942922854 0.0013585387834822835
0.22865252596366312 0.0035273101631420685 0.00040788541270337834 0.00038780250104701553
0.15462474735549586 0.0031845347955926358 0.00011348530544530115 9.836845974967971e-05
0.10456395525912729 0.0030740237381353197 3.712700883941044e-05 2.380894972952457e-05
0.07071067811865475 0.0030722263242385544 2.2080505476291858e-05 7.0621045386316255e-06
0.04781762498950186 0.003214180795817638 2.2706422763425544e-05 3.7972585214488794e-06
0.03233635032886786 0.003421217337386866 3.0114542336593135e-05 4.1390268784091796e-06
0.021867241478865564 0.0036643702303220255 4.024661521627119e-05 6.128917680015961e-06
0.014787576366283134 0.0039910841478478795 5.536075873056988e-05 8.026556834457285e-06
0.01 0.004252152645733215 9.083856975283313e-05 1.3890511981691618e-05
