dtau delta_E_D_max_2 delta_E_D_max_4 delta_E_D_max_6
0.5 0.007119943607278917 0.004034180922638759 0.004018331506849175
0.33812166890312056 0.004841625010728387 0.001378029691213576 0.0013587283554432866
0.22865252596366312 0.003607586961147357 0.00040185947842648524 0.00038743132886026745
0.15462474735549586 0.0031985194602142508 0.00010965359003509653 9.746313216087495e-05
0.10456395525912729 0.0031015474334516063 3.427398414254443e-05 2.3179576387112876e-05
0.07071067811865475 0.0031766536100087347 2.026111145698638e-05 6.052296148595763e-06
0.04781762498950186 0.0034428899747841104 1.8440933842822128e-05 3.0026920994689694e-06
0.03233635032886786 0.004067169735279994 2.0353666737642455e-05 3.0796341178321177e-06
0.021867241478865564 0.004910476866247004 2.2811390344733952e-05 4.325401800662755e-06
0.014787576366283134 0.005338676072363819 2.5985242723433054e-05 5.557126426694255e-06
0.01 0.005702863767435966 3.4311044259383e-05 8.667509278901621e-06
