dtau delta_E_D_max_2 delta_E_D_max_4 delta_E_D_max_6
0.5 0.011985554492708468 0.004162161971835979 0.0040292390926495725
0.33812166890312056 0.009697234185599748 0.0015178376064521456 0.0013713261550626858
0.22865252596366312 0.008843992330022796 0.0005498481106722884 0.00040763620711912086
0.15462474735549586 0.009422503152667632 0.00029244275782475636 0.00012170866878779615
0.10456395525912729 0.009559674408101718 0.00024464460870972013 4.3495213053261275e-05
0.07071067811865475 0.01048989524272583 0.0002930561076984044 2.8254962448673236e-05
0.04781762498950186 0.01133879967195046 0.00034583749918567597 2.5545891742719834e-05
0.03233635032886786 0.013107228165333317 0.0004502943852350674 4.689653550147022e-05
0.021867241478865564 0.0141185903082837 0.0005018385393681847 4.3712283502840125e-05
0.014787576366283134 0.015297568213950617 0.0007412792290104401 6.021915968820906e-05
0.01 0.017653482304841588 0.0008971065121998452 7.623712308220116e-05
