N_iters f_trunc_cg f_trunc_approx_cg f_trunc_trm f_trunc_approx_trm
160 1.6047930803195402e-06 1.4806885182200712e-06 1.2000876385382075e-06 1.2180894556422272e-06
165 1.5970807867349166e-06 1.4806885182200712e-06 1.1874853768038344e-06 1.216687974347137e-06
170 1.59030652118618e-06 1.4806885182200712e-06 1.1856319460187313e-06 1.2161080096499945e-06
175 1.5841417180110414e-06 1.4806885182200712e-06 1.1848188755398487e-06 1.2156814088286277e-06
180 1.5777762241462293e-06 1.4806885182200712e-06 1.184682291279714e-06 1.2145747922611555e-06
185 1.5725536192337965e-06 1.4806885182200712e-06 1.184322955625903e-06 1.2139485993459259e-06
190 1.5671038583559864e-06 1.4806885182200712e-06 1.1835493077773156e-06 1.2136783829024739e-06
195 1.562410146253212e-06 1.4806885182200712e-06 1.1834399919465302e-06 1.2131889463710928e-06
200 1.5601760474614732e-06 1.4806885182200712e-06 1.1824002156081217e-06 1.212418306686582e-06
205 1.5561169014141252e-06 1.4806885182200712e-06 1.1793336929234697e-06 1.2113877596175566e-06
210 1.5518457194302193e-06 1.4806885182200712e-06 1.1789327770337795e-06 1.2088376953148038e-06
215 1.5500852283945685e-06 1.4806885182200712e-06 1.176383293673314e-06 1.2086015020371927e-06
220 1.5465263878846275e-06 1.4806885182200712e-06 1.1749037113145395e-06 1.2083904886145486e-06
225 1.5451445848148107e-06 1.4806885182200712e-06 1.174433570861108e-06 1.2080083349552449e-06
230 1.543431214209391e-06 1.4806885182200712e-06 1.1741936133276793e-06 1.2073907072964015e-06
235 1.5403540698014122e-06 1.4806885182200712e-06 1.1741104814368421e-06 1.2065479110722558e-06
240 1.5386742357725478e-06 1.4806885182200712e-06 1.1739307078032102e-06 1.2039569441932263e-06
245 1.5374892396948352e-06 1.4806885182200712e-06 1.1737661941385944e-06 1.2037424247336071e-06
250 1.5359755941972678e-06 1.4806885182200712e-06 1.1722562551241253e-06 1.2035178086803625e-06
255 1.5332590838474979e-06 1.4806885182200712e-06 1.1719321925515405e-06 1.2029801557939382e-06
260 1.5317542875512414e-06 1.4806885182200712e-06 1.171850213197093e-06 1.2021459700517668e-06
265 1.5306206571781044e-06 1.4806885182200712e-06 1.1717555287911622e-06 1.2015831550934068e-06
270 1.529199366713218e-06 1.4806885182200712e-06 1.1716134047837982e-06 1.2009028090636638e-06
275 1.528131784695878e-06 1.4806885182200712e-06 1.1714936715389378e-06 1.199496541255174e-06
280 1.5267799374865424e-06 1.4806885182200712e-06 1.171219785943929e-06 1.1969856687225583e-06
285 1.5257360283507575e-06 1.4806885182200712e-06 1.1707624644032612e-06 1.1961880986547902e-06
