N_iters f_Renyi_cg f_Renyi_approx_cg f_Renyi_trm f_Renyi_approx_trm
0 0.3742192521984901 0.3742192521984901 0.3742192521984901 0.3742192521984901
5 0.37030857465912953 0.36957730916067466 0.36340461384514694 0.37277119632037875
10 0.3678627567616738 0.3691980046509981 0.3589714952198865 0.36605615221998167
15 0.3673890834045423 0.3690728150223968 0.357437866500836 0.35748753131220384
20 0.3670227128808086 0.36851736280082414 0.35591492610406733 0.3563547117442733
25 0.3637421081168846 0.36832822050763553 0.355306715138587 0.35627491097530906
30 0.3579305832661406 0.3681597066884584 0.3548590181078807 0.3562002471651496
35 0.3571589038630238 0.36752434939223505 0.3547051688217028 0.356133862674682
40 0.35696631887340285 0.36732601551582206 0.35468169224161306 0.35601254584090497
45 0.35691234263887534 0.3666704935354727 0.35461914183118637 0.3558669956763522
50 0.3568338075750067 0.3665056751179296 0.3545126357086521 0.35575404138597017
55 0.3565627423938355 0.3663621164591766 0.3544953297515093 0.35573135992981025
60 0.35626403158247716 0.36618988785550555 0.35446812458859894 0.35569431137929003
65 0.3561999747751033 0.36567365818660624 0.3544118886342625 0.35570799563727157
70 0.3561470876409768 0.36484246843006 0.35440708299245094 0.355675973962602
75 0.3561231138195344 0.36386530182153054 0.3543999040508118 0.35567125040927433
80 0.35611287258862523 0.3637413970804221 0.35435355975849575 0.35565042807459996
85 0.3560584370486615 0.36320908323150225 0.3543416889090217 0.3556128395261572
90 0.3560483455278879 0.363073259308875 0.35433712340728074 0.3555676922799914
95 0.3560387944966554 0.3629632444746957 0.3543351022132149 0.3555676922799914
100 0.35589122673796364 0.36280836947654416 0.35433123270494987 0.3555676922799914
105 0.35585590904249786 0.36266947520684595 0.35432604753927915 0.3555676922799914
110 0.35583499714006445 0.3619905029884376 0.3543201233488869 0.3555676922799914
115 0.3558270164220417 0.3607690921691767 0.3543176844929079 0.3555676922799914
120 0.3558141632223186 0.35706395276339914 0.354316643028485 0.3555676922799914
125 0.35580138210296397 0.3564427180842193 0.3543136624605437 0.3555676922799914
130 0.35571287639569654 0.35635374636108097 0.3543022583284009 0.3555676922799914
135 0.35566463342048044 0.3563429922818293 0.35428659589376527 0.3555676922799914
140 0.35564709791072613 0.35633943731222806 0.35427065465159624 0.3555676922799914
145 0.35563088232883955 0.35633943731222806 0.3542111985667018 0.3555676922799914
