t_tenpy sz_chi_16 sz_chi_32 sz_chi_64 sz_chi_128 sz_chi_256 sz_chi_512 sz_chi_1024
0.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0
0.01 0.9994128532830588 0.9994125649444439 0.9994125649793986 0.9994125649794 0.9994125649794 0.9994125649794 0.9994125649806269
0.02 0.9974737761252916 0.9974692626995644 0.9974689789515201 0.9974689758215942 0.9974689756147591 0.9974689756147112 0.99746897561471
0.03 0.9940356697129099 0.9940187857392206 0.9940171743204295 0.9940171446595809 0.9940171443789095 0.9940171443803789 0.9940171443798436
0.04 0.9891735044801074 0.9891272067351842 0.9891219773471559 0.9891217692315091 0.9891217774758028 0.9891217776466562 0.989121777641637
0.05 0.9829938883033557 0.9828877669412626 0.9828743973953329 0.9828735946134917 0.9828736009781637 0.9828736019404068 0.9828736019282697
0.06 0.9756309829413364 0.9754187499819709 0.9753893672206035 0.9753870509468211 0.9753870126674147 0.9753870171484261 0.9753870171206963
0.07 0.9672424765065561 0.9668609210427744 0.9668030615369065 0.9667974145591753 0.9667971914192887 0.966797198842396 0.9667971988709002
0.08 0.9580049487082509 0.9573744371504083 0.9572696437728857 0.9572575055876835 0.9572567458493726 0.9572567489288628 0.957256748929498
0.09 0.9481087976931366 0.9471352515742902 0.946957677903798 0.9469339589520626 0.9469320244234438 0.9469320011408463 0.946932000998003
0.1 0.9377529117971481 0.9363310664703548 0.9360462593401431 0.9360031249628464 0.9359991962946375 0.9359990938788081 0.9359990933979232
0.11 0.927139270423642 0.9251568994304287 0.9247209627869032 0.9246474723269503 0.9246401863480066 0.9246399204182253 0.9246399189084971
0.12 0.9164676507005176 0.9138103720716461 0.9131697095620307 0.9130514354689474 0.9130386194228711 0.9130380622584477 0.9130380576465118
0.13 0.9059306023583723 0.902487022703514 0.9015786486401367 0.9013974211652135 0.9013758273841453 0.9013748031551229 0.901374791613075
0.14 0.8957088342366054 0.8913755550018244 0.8901281436118412 0.8898620187157582 0.8898270653383763 0.889825313090961 0.8898252911313108
0.15 0.8859671336829515 0.8806534192790272 0.8789889568284135 0.8786124553040038 0.8785579577505297 0.8785550898128663 0.8785550541137341
0.16 0.8768509163753406 0.8704827060737806 0.8683187153025015 0.8678033732004933 0.867721308661114 0.8677167245277203 0.8677166709775319
0.17 0.8684834798902129 0.861006517132115 0.8582587663867051 0.8575739464785396 0.85745427929129 0.8574470554693332 0.8574469781656815
0.18 0.8609640103379591 0.8523460232891785 0.8489315490706475 0.8480454767667813 0.8478760431947633 0.8478647694507317 0.8478646548023167
0.19 0.8543663678333672 0.8445982605713431 0.8404385418234314 0.8393194101776412 0.8390858611477463 0.8390684918666528 0.8390683091652995
0.2 0.8487386534096023 0.8378347068874862 0.8328588035367586 0.8314758760976422 0.8311617209963842 0.8311354328027262 0.8311350918456905
0.21 0.8441035370358876 0.8321005813118257 0.8262482142310899 0.8245728896202741 0.8241595275137235 0.8241205610391992 0.8241198582498821
0.22 0.8404593035457946 0.8274149881562113 0.8206393572379442 0.8186461737851527 0.8181128386187951 0.8180563121752057 0.8180548931968002
0.23 0.8377815524130253 0.8237723652169647 0.8160419619392983 0.813709538126309 0.8130331280268583 0.8129528812053812 0.812950202456045
0.24 0.8360254776369214 0.821144483597409 0.8124439349304243 0.8097557756637283 0.808910598179747 0.8087990731840143 0.8087943582075764
0.25 0.8351286081179661 0.8194824783085124 0.8098129723355405 0.8067578177695998 0.8057155280719254 0.8055636720203722 0.8055558646777512
0.26 0.8350138395812337 0.8187197219841961 0.8080986293285057 0.8046701304686661 0.8034000659960585 0.8031972838672466 0.8031850016410793
0.27 0.8355926892200156 0.8187748975983837 0.8072347812769585 0.8034306793063057 0.8019003904157088 0.8016345969921436 0.8016160919416685
0.28 0.8367685724185195 0.8195549768605119 0.8071423587529813 0.8029634207718362 0.8011392023616796 0.8007969691841291 0.8007701073112864
0.29 0.8384400392369106 0.8209581702234454 0.8077320334995512 0.8031806504423018 0.8010284178093603 0.8005952707465133 0.8005575435109978
0.3 0.840503866831828 0.8228770268219803 0.8089066557879102 0.8039854217277205 0.8014720663372685 0.8009329280742844 0.8008814789372853
0.31 0.8428577013897197 0.8252018421388295 0.8105637391717129 0.8052748109099295 0.802369329504149 0.8017090377228917 0.8016407054208393
0.32 0.8454023157851723 0.8278240456764664 0.8125982720357717 0.806943259333772 0.8036176294868502 0.8028214436930132 0.8027328323271463
0.33 0.8480436331422757 0.8306391374868207 0.8149074535169644 0.8088853999865301 0.805115563485725 0.8041697398398646 0.8040572955231562
0.34 0.8506941827736098 0.8335487932108362 0.81739334826482 0.8109987382135144 0.8067657082125415 0.805658087752082 0.8055181729212708
0.35000000000000003 0.8532742370049775 0.8364623222511886 0.819963136081973 0.8131864385269738 0.808477103856772 0.8071977551087154 0.8070267219489203
0.36 0.8557134570776499 0.8392973170624488 0.8225309447911975 0.8153593236253325 0.8101673976930162 0.8087092943380523 0.8085035837416789
0.37 0.8579524223136211 0.84197989828768 0.8250193449102875 0.8174369302507655 0.8117649118146602 0.8101243339356728 0.8098805852639706
0.38 0.8599433661711875 0.8444468666298449 0.8273599152944534 0.819349716958905 0.8132101840838896 0.8113869517119752 0.811102088228958
0.39 0.8616500892638803 0.8466484531779865 0.8294939477970498 0.8210409898184966 0.8144569206077565 0.8124545799535722 0.8121258691017372
0.4 0.863047417353765 0.8485483364558999 0.8313735252503376 0.8224677947135635 0.8154725343013779 0.8132984364582342 0.8129235262039868
