t_tenpy sz_chi_16 sz_chi_32 sz_chi_64 sz_chi_128 sz_chi_256
0.0 -1.0 -1.0 -1.0 -1.0 -1.0
0.01 -0.9994015995574232 -0.9993996492047075 -0.9993996492070668 -0.9993996492070669 -0.9993996492070669
0.02 -0.9974009867224993 -0.9973967206340423 -0.9973964274141524 -0.9973964245268496 -0.9973964243358963
0.03 -0.9938147954109273 -0.993800191179359 -0.9937983895834979 -0.993798363449083 -0.9937983629718046
0.04 -0.9886662293650103 -0.988625715463934 -0.9886195677694916 -0.9886193653385555 -0.9886193770822812
0.05 -0.981987539927528 -0.9818937616560397 -0.9818780753413547 -0.9818773108566822 -0.9818773306836598
0.06 -0.9738158706340514 -0.9736283381422942 -0.9735949573248183 -0.9735928886004125 -0.9735928611184143
0.07 -0.9641900463233418 -0.9638557768456959 -0.9637931500563743 -0.9637884299091041 -0.9637882681522181
0.08 -0.9531474928084729 -0.9526034065671136 -0.9524965094504861 -0.9524870716325233 -0.9524866223336523
0.09 -0.940721982071333 -0.9398983435385541 -0.9397291528461746 -0.9397121466083643 -0.9397112280876909
0.1 -0.926941837574918 -0.9257666648202082 -0.9255151604764329 -0.9254870952258654 -0.925485486949119
0.11 -0.9118293461416566 -0.9102330503370617 -0.9098786732693748 -0.9098356664230687 -0.9098330867319664
0.12 -0.895401111772133 -0.8933209679260417 -0.8928444009695393 -0.8927825052045878 -0.8927787239011404
0.13 -0.877669488415673 -0.8750534646568857 -0.8744384417783474 -0.8743539965675498 -0.874348867468398
0.14 -0.8586447957911056 -0.8554544656728352 -0.8546893565166189 -0.8545793503022006 -0.8545728922645284
0.15 -0.8383377935338225 -0.8345504394169121 -0.8336293128754144 -0.8334914815681236 -0.8334841273851773
0.16 -0.8167635737374046 -0.8123722023277339 -0.8112950517315085 -0.8111280617075475 -0.8111207648344527
0.17 -0.7939450902083169 -0.7889565193640662 -0.7877266221612885 -0.7875320745128335 -0.7875266124641929
0.18 -0.7699149418758321 -0.764347582484601 -0.7629686606513728 -0.7627529475937561 -0.7627519269635887
0.19 -0.7447173614532558 -0.7385981095724778 -0.7370801134464675 -0.7368465910874161 -0.7368532429325577
0.2 -0.7184089602502951 -0.7117693328897239 -0.7101220326321613 -0.709875312951892 -0.7098936570164418
0.21 -0.6910578305101657 -0.6839275951595156 -0.6821612114617561 -0.6819083231659085 -0.6819421037062512
0.22 -0.6627388324193262 -0.6551226352554694 -0.6532698802089361 -0.6530209329574979 -0.6530722432257162
0.23 -0.63352630625949 -0.6254360460656211 -0.6235289248827466 -0.6232919027558104 -0.6233609708435495
0.24 -0.6034947294746719 -0.5949698521847322 -0.5930195577827794 -0.5928010610250645 -0.5928867735060206
0.25 -0.5727317094851107 -0.5638092567561026 -0.561823458424539 -0.5616281736383612 -0.5617276192011568
0.26 -0.5413394979015927 -0.5320382405439821 -0.5300208685910102 -0.5298502001616112 -0.5299587858501724
0.27 -0.5094024358195408 -0.49973777267972846 -0.49768557620249176 -0.49753939329900615 -0.49765110199808266
0.28 -0.4769960787271059 -0.4669868345300052 -0.46488559284767966 -0.46476141145941263 -0.4648694251982642
0.29 -0.44418867861021355 -0.43384713864923885 -0.4316832277702218 -0.4315745847213924 -0.4316715477995268
0.3 -0.4110393535597266 -0.400373496539822 -0.3981303465600999 -0.39802948249540165 -0.39810786470566417
0.31 -0.37759650734792416 -0.3666090859462976 -0.3642706638020904 -0.3641691552944187 -0.3642216289122966
0.32 -0.34389440077446787 -0.33258421064942195 -0.33014104155980095 -0.3300297976474113 -0.33004997683734333
