t_tenpy sz_chi_16 sz_chi_32 sz_chi_64 sz_chi_128 sz_chi_256
0.0 1.0 1.0 1.0 1.0 1.0
0.01 0.9992044939654247 0.9992045284565605 0.9992045294420059 0.9992045294420057 0.9992045294420057
0.02 0.9968658330580421 0.9968648224088125 0.9968647450131795 0.9968647439783503 0.9968647439182005
0.03 0.9931302716813116 0.9931244871862276 0.9931240681859447 0.9931240547220939 0.9931240544046479
0.04 0.9882308030739073 0.9882116970527106 0.9882101312620329 0.9882100032480449 0.9882100143308142
0.05 0.9824707154296242 0.9824232857745387 0.9824189987184212 0.9824185095386075 0.9824185336700978
0.06 0.9762025740164914 0.9761053101520877 0.9760952480065898 0.9760939388747674 0.976093955842193
0.07 0.9698041838772274 0.9696300217430746 0.9696092280217227 0.9696063024943822 0.9696062566191291
0.08 0.9636532603830044 0.9633716624751991 0.9633330386305162 0.9633272307922852 0.9633269814870544
0.09 0.9581026313620944 0.9576824131237325 0.9576168066280545 0.9576061545108961 0.9576055541747236
0.1 0.9534576952035279 0.9528701758190274 0.9527669075335747 0.9527487651367295 0.9527475236161616
0.11 0.949957699628095 0.9491797294763967 0.9490275637075699 0.948998534300666 0.9489961890882151
0.12 0.9477620976489884 0.9467785710686736 0.9465670360025191 0.9465228822807774 0.9465187684035059
0.13 0.9469428658572792 0.9457484446597769 0.9454693269548766 0.9454047488741404 0.945397874590413
0.14 0.9474832100614865 0.9460831554602223 0.9457319005115157 0.9456400557385827 0.9456290688588259
0.15 0.949282312545983 0.9476927825985011 0.9472693370706339 0.9471411405367466 0.947124331563793
0.16 0.9521659842051947 0.9504138467705051 0.9499222509475289 0.9497456277484546 0.9497211450105374
0.17 0.9559037324246417 0.954024566092651 0.9534669754111289 0.9532307636803528 0.9531965719292204
0.18 0.9602281145031208 0.9582630345121161 0.9576318365432495 0.9573311528090115 0.9572851609073985
0.19 0.9648563829502843 0.9628486703418919 0.9621233313358286 0.961758479416045 0.9616989090109455
