t_tenpy sz_chi_16 sz_chi_32 sz_chi_64 sz_chi_128 sz_chi_256
0.0 1.0 1.0 1.0 1.0 1.0
0.01 0.9994378907876198 0.9994250015124292 0.9994250032522112 0.9994250032522098 0.9994250032522098
0.02 0.997590530599496 0.997553919345385 0.9975534740461093 0.9975534710437923 0.9975534709541234
0.03 0.9943851321018102 0.9943249406938693 0.9943223001754438 0.9943222672134503 0.9943222666586837
0.04 0.9900289947866466 0.9899367558283168 0.9899279352116371 0.9899276946505968 0.9899277018119066
0.05 0.9848021094622841 0.9846565326980797 0.9846344578680397 0.98463354439312 0.9846335529113557
0.06 0.979036328205029 0.9788022212096813 0.9787557328416172 0.9787531810915007 0.9787531414809745
0.07 0.9730917535830182 0.9727212047093711 0.9726347077971208 0.972628729008536 0.9726285329864701
0.08 0.9673316554634878 0.9667675358385726 0.9666211688386614 0.9666088901713484 0.966608336446447
0.09 0.9620977970613258 0.9612789900300259 0.9610495286703035 0.9610268091485418 0.9610255817554912
0.1 0.957687837946234 0.9565555035288162 0.9562180675726085 0.956179558356761 0.9561771020056683
0.11 0.9543365330346796 0.952840540950739 0.95237097622466 0.9523102826136725 0.9523057520643218
0.12 0.9522017993361067 0.9503066748403385 0.9496843751719031 0.9495943422607013 0.9495866038021142
0.13 0.9513566755194283 0.9490464047256006 0.9482572697995448 0.9481302942573634 0.9481178503375791
0.14 0.9517876291399828 0.9490689781448013 0.9481080419593383 0.9479362728567755 0.9479172504771586
0.15 0.9533991395912363 0.9503034213883575 0.9491762776243575 0.9489519622496275 0.9489240940410176
0.16 0.956024271209069 0.9526072731277379 0.9513292047623341 0.9510461013185766 0.9510066028994872
0.17 0.9594403429699411 0.9557803867291975 0.9543755047361413 0.9540282580759922 0.9539738160783487
0.18 0.9633875724633076 0.9595825468604198 0.9580832847446844 0.9576641354622522 0.9575919541408318
0.19 0.9675904995120498 0.9637523847091369 0.962193409718709 0.9616943572704542 0.9616021856440552
0.2 0.9717805070544825 0.9680279083191865 0.9664335162891295 0.9658537554269917 0.9657402528541432
0.21 0.9757161687327409 0.9721469510350162 0.9705403604912195 0.9698895843596912 0.9697549075788685
0.22 0.9791993172457228 0.9758898341843194 0.974280318862264 0.9735780407755481 0.9734246008605207
0.23 0.9820863727282328 0.9790895659994033 0.9774655931918221 0.9767381737368349 0.9765707789533515
0.24 0.9842873277877476 0.9816321801595729 0.9799603415464893 0.9792418401312578 0.9790669889021761
0.25 0.9857761606056619 0.983442654548519 0.9816883946950646 0.9810181086816141 0.9808434533380719
0.26 0.9865782404732234 0.9844581265370853 0.982634761615696 0.9820528793674325 0.9818868660731
0.27 0.986747921742931 0.9846534153297256 0.9828409116582119 0.9823846096445131 0.9822358788448445
0.28 0.9863652525774753 0.9840928811258411 0.9823961585720157 0.9820962012343027 0.981972875925207
0.29 0.9855295930344925 0.9829034497197948 0.9814262307958606 0.9813039588917556 0.981212955172612
0.3 0.984353394395946 0.9812483042784177 0.9800800374404732 0.9801449589959347 0.9800912843257924
0.31 0.9829574961377869 0.9793110385609672 0.9785156643554922 0.9787638472454081 0.9787499531968129
0.32 0.9814629965331725 0.9772698322335113 0.9768865532098161 0.9773002452282165 0.9773254624228336
0.33 0.9799830196082033 0.9752923912618391 0.9753293263427627 0.9758777509551733 0.9759378723320271
0.34 0.9786143284862364 0.9735224658070393 0.9739540022573198 0.9745952559045276 0.9746823560960634
0.35000000000000003 0.9774304384925917 0.9720678202953601 0.9728374547479429 0.9735212725542839 0.9736236301962723
0.36 0.9764773546427584 0.9709952625571011 0.9720202752052062 0.9726914455454476 0.9727935468914136
0.37 0.9757719863427959 0.9703292955092487 0.9715069761487372 0.9721076412014549 0.972191927341136
0.38 0.9753032214001002 0.9700544485377909 0.9712689978499387 0.9717406716882585 0.9717903508919049
0.39 0.9750354561762321 0.970120724879953 0.9712513889320183 0.971538135576454 0.9715381696790377
