t_disoTPS sz_disoTPS_D_2 sz_disoTPS_D_3 sz_disoTPS_D_4 sz_disoTPS_D_5
0.0 1.0 1.0 1.0 1.0
0.02 0.9992116477801934 0.9968562254882667 0.996843786696246 0.9968639996882218
0.04 0.9965535432228342 0.9880127205825379 0.9879591049136608 0.988001535684957
0.06 0.990789436096616 0.9750788382955387 0.9749490276636357 0.9750093973217233
0.08 0.9831267254558013 0.9606971039524967 0.960003111351746 0.9600731423673438
0.1 0.9774232967551342 0.9466746584245767 0.9454423628459122 0.9454437427357145
0.12 0.9704871471836244 0.9350547155717982 0.9329422302281155 0.9329658015595907
0.14 0.9636314249972646 0.9267436733875409 0.923721545048895 0.9235894221133112
0.16 0.9571456583731734 0.9212951756770114 0.9177075087323054 0.9170681721133132
0.18 0.9499855238366185 0.9180476304718479 0.913397186167995 0.9125998522544547
0.2 0.9419213763635275 0.9144421631567419 0.909335789214957 0.9085090544598647
0.22 0.9326539940718608 0.9099883588270582 0.9040729923724939 0.90389947626228
0.24 0.9216873132712794 0.902147912736405 0.8962554236249942 0.8967864408694466
0.26 0.9067632915963834 0.8925570436951038 0.8855710465305946 0.8863649935061877
0.28 0.8908180500956484 0.879580417380169 0.8718940355787979 0.8726181004096959
0.3 0.8748141936019952 0.8633793395363677 0.8554464568947839 0.8571656457135551
0.32 0.8582384600335329 0.8467366983022909 0.8379244295784076 0.8404282857187871
0.34 0.8411222141674816 0.8291740037145117 0.8207211226793342 0.8234594889715274
0.36 0.8231525238873723 0.8122945768469152 0.8044243411361038 0.8081789484704353
0.38 0.8049444904673055 0.7975868179695363 0.7901374108522649 0.7948317790997493
0.4 0.785336929338262 0.7842835226835705 0.7794053913372344 0.7843605883480087
0.42 0.7634922404052795 0.7751284337607532 0.7705993661643347 0.7766107527347907
0.44 0.740439868984437 0.770078409260511 0.7649981065433364 0.7709891788748392
0.46 0.7237041202017905 0.7674409177735492 0.7616267767908363 0.7668724678151312
0.48 0.7052776135268688 0.7648500893173437 0.7599987908524054 0.7639230325922332
0.5 0.6892636740669124 0.7642525249877999 0.7587082853023449 0.7615923259869779
0.52 0.6760796626909532 0.7638274775606472 0.7576169094383125 0.7604292681424292
0.54 0.6633769819895183 0.7630171599049558 0.7570066531231641 0.7597256068811561
0.56 0.6488713696903916 0.7645132729140356 0.7571888684621858 0.7601090614872039
0.58 0.6415526336085008 0.766511868088929 0.7574799100545062 0.7612193680667871
0.6 0.6387428113422965 0.7693597084873085 0.7580942073398338 0.7635838912603912
0.62 0.6359401814847649 0.7710584145646113 0.7605792130997779 0.7673427161732626
0.64 0.6301820389621728 0.7733246251790517 0.7654170725179891 0.7725520697636312
0.66 0.627763711880115 0.7790352610154497 0.7715504563063034 0.7790887017973984
0.68 0.6251434866409752 0.7839671566259518 0.7795750162304473 0.7864596122463935
0.7000000000000001 0.6231148133545101 0.7913290083772698 0.7883840422966315 0.7953665378178484
0.72 0.6207254287781472 0.7977722056724893 0.7980489556932532 0.805006597344586
0.74 0.6201947305446404 0.8076209618380368 0.8082578532823019 0.8149318271606374
0.76 0.620094914158374 0.8206948308407783 0.8192312098700307 0.8256292636751208
0.78 0.6196304114866622 0.833502302497176 0.8308048893622486 0.8371126006126935
0.8 0.6225987630685237 0.846238074303183 0.8431932520320672 0.8490023153428864
0.8200000000000001 0.631291673495794 0.8580365764016411 0.8567134191997356 0.8612582323471704
0.84 0.6404346594147167 0.8707180906907601 0.8706308003745539 0.8736079752015593
0.86 0.6494993976257482 0.8831171732465992 0.8842469015628328 0.8853883749010707
0.88 0.6575220269181196 0.8968944671088557 0.8975266862836295 0.8965342466851453
0.9 0.6683026591336224 0.9086886749927886 0.9095919991226598 0.9069567110418083
0.92 0.6812620612206588 0.9216837276224396 0.9199367810935949 0.9166234040572547
0.9400000000000001 0.6950737765073774 0.9324148554676113 0.9287441984633922 0.9256334352761315
0.96 0.7091620552843246 0.9421848581895749 0.9357301421836068 0.9337045078699752
0.98 0.7251592994497675 0.9500809713193006 0.940970419617673 0.9408610025163185
