t_tenpy sz_chi_16 sz_chi_32 sz_chi_64 sz_chi_128 sz_chi_256
0.0 1.0 1.0 1.0 1.0 1.0
0.01 0.9993143423567312 0.9993133690551274 0.9993133678634358 0.9993133678634355 0.9993133678634355
0.02 0.9971984937945124 0.9971923638160854 0.9971922470624826 0.9971922454321911 0.9971922453623059
0.03 0.9936642241463731 0.9936443823033599 0.9936436234389663 0.9936436062908893 0.9936436063188155
0.04 0.9888787258428853 0.9888298211931779 0.9888270651143376 0.988826922528574 0.9888269343382242
0.05 0.9830645417443271 0.9829623097998744 0.9829549730637936 0.9829544286001651 0.9829544443354495
0.06 0.9764835272512535 0.976295267372946 0.976278784892897 0.976277299337978 0.9762772981376107
0.07 0.9694194964869807 0.9691056620194552 0.9690731146379197 0.9690697127942536 0.9690696336500925
0.08 0.9621595195027737 0.9616766928581055 0.961618654674719 0.9616118096591152 0.9616115163659328
0.09 0.9549753783774151 0.9542802896864063 0.9541851136898146 0.954172581984273 0.9541719251575416
0.1 0.9481065115409442 0.9471606214920513 0.9470152422954893 0.9469941280845944 0.9469928610223977
0.11 0.9417456223245569 0.9405197316105195 0.9403109550255567 0.940277790513162 0.9402755266769558
0.12 0.9360279416086081 0.9345062966020907 0.9342224550992717 0.9341733429190735 0.9341695977683252
0.13 0.9310248271178361 0.9292083060388263 0.9288410501475408 0.9287717973697804 0.9287659639258178
0.14 0.9267421136677683 0.9246501808494084 0.9241961501868182 0.9241022802622243 0.9240936647611951
0.15 0.923123168493457 0.9207944948158898 0.9202566174621906 0.920133263160409 0.9201210051501719
0.16 0.9200556500557426 0.917548088833772 0.9169355012521107 0.9167776080430082 0.9167607454786079
0.17 0.9173835596490455 0.914772029986074 0.9140978639411526 0.9139013512051797 0.9138788862540872
0.18 0.9149216887580228 0.9122941612719012 0.9115709879629188 0.9113352253060925 0.9113065218994607
0.19 0.9124714540528762 0.9099228328508424 0.9091593142556692 0.9088882918593542 0.9088533438915634
0.2 0.909837499869972 0.9074638737279542 0.9066621100226127 0.9063630787501635 0.9063224744124483
0.21 0.9068447363843558 0.9047339404739877 0.903885021441002 0.9035690740872767 0.9035248821082874
0.22 0.9033522886831274 0.9015584081726369 0.900654805101985 0.9003371387040277 0.9002924999144724
0.23 0.8992522761644444 0.897754938908496 0.8968309472300202 0.8965307249775697 0.8964892369589218
0.24 0.8944535706807917 0.8932097003484679 0.892314905919992 0.8920529283688389 0.892019341389529
0.25 0.8888697610862552 0.8878605831680102 0.8870544893953818 0.8868528796485815 0.8868322864634529
0.26 0.8824569589837873 0.8816995731756688 0.8810455122983561 0.8809266156229135 0.8809242719026217
0.27 0.8752252689505012 0.8747655585960976 0.8743301190519491 0.8743155301932836 0.8743365123149194
0.28 0.867245616705368 0.8671482002251538 0.8669930523549599 0.8671014807583464 0.8671504456568303
0.29 0.8586397964146738 0.8589763890978196 0.8591544800613081 0.8593996144868639 0.8594805077747996
0.3 0.8495695920597091 0.8504104759707727 0.8509595828979586 0.8513496372632336 0.8514651889194724
0.31 0.8402238198212354 0.8416266099750517 0.8425686773594228 0.843105763821542 0.8432571091525637
0.32 0.8308037445123834 0.8328061078236897 0.834146776971797 0.8348263600017644 0.8350128917156173
0.33 0.8215095083410495 0.8241265558016843 0.8258532187750282 0.8266642419086029 0.826883552140296
0.34 0.8125284918841348 0.8157494472981517 0.8178325937727604 0.8187582006166169 0.8190061221798771
0.35000000000000003 0.8040252188688123 0.8078128612498124 0.8102076993017463 0.8112260671170405 0.8114969734788081
0.36 0.7961332544888593 0.800425300310789 0.8030744077954357 0.8041598584893267 0.8044470928624379
0.37 0.7889496234696536 0.7936617508910842 0.7964986089484075 0.7976234501099756 0.7979195333032537
0.38 0.7825320170364665 0.7875626858541325 0.7905158326959851 0.791652006467365 0.7919489913833008
