t_disoTPS sz_disoTPS_D_2 sz_disoTPS_D_3 sz_disoTPS_D_4 sz_disoTPS_D_5
0.0 1.0 1.0 1.0 1.0
0.02 0.9985086917555873 0.9968632563587803 0.9968539046040213 0.9968527171627891
0.04 0.9938581173500243 0.9881828714702647 0.9881700029673107 0.9881673814899087
0.06 0.9902657779050738 0.976026774173963 0.9760198847936045 0.9760052570075857
0.08 0.9839177534909961 0.9633130904091474 0.9632037761928516 0.9631809438652349
0.1 0.9774504926246007 0.952746401293999 0.9526015635280294 0.9525846702057255
0.12 0.9727835798573733 0.9467685805501418 0.9463779235093145 0.9463276420747612
0.14 0.9706757003379355 0.9462795036990974 0.9456568029048601 0.94549015300448
0.16 0.9710061861393899 0.9510225842122122 0.9504385139302713 0.9496578032496268
0.18 0.9736929679511154 0.9589664110220656 0.9588762351277268 0.9575691620061207
0.2 0.977046920792361 0.9686512787852314 0.9683872510219207 0.9666180701277383
0.22 0.980992565455039 0.9776549901199174 0.9767043089115383 0.9749567328072126
0.24 0.9841514874920301 0.9854421534840897 0.9823131169647457 0.9810717594387912
0.26 0.9870690468824578 0.9892772765653401 0.9847314996747585 0.9839786336007713
0.28 0.9888157896787708 0.989914914361186 0.984067080129876 0.9836257865200964
0.3 0.989971542086297 0.9868715239998813 0.9811612296637175 0.9811958398152247
0.32 0.9912946900321882 0.9817941502863914 0.9772572416347627 0.9779690897864127
0.34 0.9923258376754539 0.9761218498188358 0.9736392297577117 0.974761616236198
0.36 0.9923637972641342 0.9701113731836587 0.9708745633665549 0.9721106933543157
0.38 0.9910124700249935 0.9659281959181278 0.9698430740682578 0.970331354828474
0.4 0.9898660097490174 0.9634491332438003 0.970073809503846 0.970092547827627
0.42 0.9892505126989561 0.9639500701745932 0.9713911234756002 0.9706456688037357
0.44 0.9893776161324096 0.9671520118678546 0.9728698761689594 0.9711310537793167
0.46 0.9885590752000316 0.9714997884209472 0.9740896115015473 0.9712989790417581
0.48 0.9861623018849228 0.9759556629247672 0.9746188802697044 0.9712033666814865
0.5 0.9839274862295291 0.9796706512020738 0.9742068291267546 0.9708760104650833
0.52 0.9809911988648254 0.9826013142593486 0.9734288502344552 0.9707703497039769
0.54 0.9790929326881465 0.9851857977120332 0.972753071336741 0.9709804667466798
0.56 0.976711151787671 0.986286959098918 0.9725520008200849 0.9723348663506959
0.58 0.9744456008493946 0.9860128682216014 0.9734176159630734 0.9742771820663315
0.6 0.9740157893250426 0.9840151449361787 0.9754574368300674 0.9769874545202185
0.62 0.9754401720618425 0.9813570839325046 0.9779301137588692 0.9795831323851931
0.64 0.9790488197789692 0.9788162214532817 0.9801263069358809 0.9810747257274506
0.66 0.9856498980535273 0.9768903404211196 0.9813984275299019 0.9812974627492893
0.68 0.9899492598297375 0.9753763502538613 0.981709775094003 0.980349180239197
0.7000000000000001 0.9918138894887937 0.9753616139599296 0.9813426803445647 0.9789612849244206
0.72 0.9902708274009783 0.9761448007824902 0.9797414768497115 0.9768818372664861
0.74 0.9874633366471074 0.9773809031173952 0.977813314845813 0.9748551145480178
0.76 0.9849192333873266 0.9789250618062942 0.9754214130333807 0.9730782655879452
0.78 0.982231011893961 0.9801422518738379 0.973900068825249 0.9723607280140362
0.8 0.9803800663540401 0.9810539529025677 0.9736170246735947 0.9729909019621306
0.8200000000000001 0.9795720066365209 0.9817254195674138 0.974746766957948 0.9746630547040304
0.84 0.9785756285166549 0.9819969443740912 0.9764194442982246 0.9765907372223885
0.86 0.9783764955749417 0.9823127561651429 0.978739190760764 0.9784504325375919
0.88 0.9793843921878924 0.9821995969571033 0.9808232121915244 0.979594445027038
0.9 0.9813206811612312 0.981926316829568 0.982891418215309 0.979889480185847
0.92 0.9839508239196735 0.9819113784031573 0.983498404074243 0.9793458265398751
0.9400000000000001 0.9866577237769361 0.9817242467085954 0.9826102491252264 0.9782273178941462
0.96 0.9886697073240232 0.9812154804220875 0.9804688614011604 0.9772430265174189
0.98 0.989583632497997 0.9797513771714687 0.9777968457840615 0.9763947157550683
