t_disoTPS sz_disoTPS_D_2 sz_disoTPS_D_3 sz_disoTPS_D_4 sz_disoTPS_D_5 sz_disoTPS_D_6
0.0 1.0 1.0 1.0 1.0 1.0
0.02 0.9992873271418051 0.9968587880382842 0.9968530452068797 0.9968581495768661 0.9968592113911251
0.04 0.9972295053445857 0.9881713180796508 0.9881693550606909 0.9881684648886991 0.98817700018856
0.06 0.9944200764796366 0.9759685031937763 0.9760255697577682 0.9760076746081102 0.9760187389898711
0.08 0.9911901396510481 0.9631724076017326 0.9632180530072099 0.963179745779012 0.963210478414686
0.1 0.987458993047643 0.9525937168105841 0.9526288625498998 0.9525653991503603 0.9525878521676366
0.12 0.9841490535584141 0.9465598081745 0.9464394574454351 0.9463363757535613 0.9463610502751646
0.14 0.9821391399962445 0.9460300987808954 0.9457645348540907 0.9454912654781905 0.9454861392457234
0.16 0.9817455285867971 0.9505031416634797 0.950308868685596 0.9498237198330983 0.949723759788569
0.18 0.9841067463195924 0.9590172287651042 0.95833057702454 0.9575290149940028 0.9574476535881771
0.2 0.988137520061282 0.9682353949700582 0.9682666763232335 0.966711525375529 0.9665658966332712
0.22 0.99036182498062 0.977597514180813 0.9772760197446784 0.9752616584152751 0.9749329032643488
0.24 0.9925702819182536 0.984721181204071 0.9836869874793109 0.9812624350675018 0.9808008401057987
0.26 0.994073787176722 0.988384039435853 0.9864028412103379 0.9839325014036101 0.9831693456452335
0.28 0.9930540776395649 0.9885696428559053 0.985345324295329 0.983022827335623 0.9824475586992976
0.3 0.9900719875165535 0.9849955898030266 0.9817435344831955 0.9798273398717648 0.9793452888058876
0.32 0.9868224813586386 0.9800587884294485 0.9766703945612695 0.9753768349087946 0.9753431937814455
0.34 0.9838178065509761 0.9734530783667249 0.9711982579673367 0.9705151330219037 0.9708900542035226
0.36 0.9808160477946656 0.9668676904971094 0.9662472582393199 0.9665021459676284 0.9671522514366766
0.38 0.9779059532904479 0.9619480651122876 0.9626777170080473 0.963437471995282 0.9646006903774828
0.4 0.9771478138067133 0.9596563797405475 0.9607514611858293 0.9620966346300336 0.963236176373379
0.42 0.9782169987711266 0.9590852076253118 0.9605915444031982 0.9615812180510963 0.9620633152202469
0.44 0.9801481777012663 0.960960663462613 0.9616394150117841 0.961337224709352 0.9612408842123
0.46 0.983223377621617 0.9637452984627228 0.9629021239540536 0.9611551432458989 0.9601795106282066
0.48 0.9850097766955105 0.9670487376447633 0.9647725845287998 0.9609223777443868 0.9587508565937195
0.5 0.986357080920542 0.9689248662742261 0.9655738750065783 0.9603589774787754 0.957467657332434
0.52 0.987530227813822 0.969208554622838 0.965096409107852 0.9597026043185372 0.9565461144685048
0.54 0.9880982529948962 0.9680420053220338 0.9643647584231553 0.9595366313286622 0.9564933864845357
0.56 0.9885779615670619 0.9659475458222772 0.9627731216501799 0.9597040278176238 0.9568860369156416
0.58 0.9884768705209357 0.9622624262666748 0.9616024931664806 0.9598582761341226 0.9577423816830565
0.6 0.9890348357122645 0.9584408890370734 0.9603317731699159 0.9597578600607624 0.9591369432149416
0.62 0.9877734687674126 0.9552175093542808 0.9590255451099206 0.9595222355300751 0.960069817977999
0.64 0.9870059928203848 0.9522448517150106 0.9582538235903398 0.9589783016252019 0.9602372791659147
0.66 0.9891918305552599 0.9497230589026047 0.9573894790515418 0.9578274758601538 0.9594443414450254
0.68 0.9878457238105919 0.9486079031564008 0.9564204958230652 0.9560021084648509 0.9574994758859917
0.7000000000000001 0.9850941570026418 0.9471023937961938 0.9551469768716049 0.9537587940168297 0.9548770306743383
0.72 0.982731253139919 0.9462232820247096 0.9532229841153075 0.9511306859642766 0.9515765991093899
0.74 0.9812796553659855 0.9455003069534931 0.9511770193139192 0.9489775562976125 0.9484948653048862
0.76 0.9787587554165579 0.9451536392316053 0.9493059763045658 0.9473729384236306 0.946006767049948
0.78 0.9768160439061857 0.9445252355924055 0.9479874804052728 0.946894223618088 0.9452750052880582
0.8 0.9757390839353912 0.9442149753672843 0.9475373700732032 0.9475020617717497 0.9463970837523311
0.8200000000000001 0.9752274666486763 0.94463993378233 0.9483934290252785 0.949396950054034 0.9488831495842147
0.84 0.9757023691441734 0.946371154740993 0.950599636511546 0.952142053277505 0.9522444008364181
0.86 0.9768707030459601 0.9486355177852807 0.9536335759871061 0.9551567486196205 0.956141645492123
0.88 0.979378421039187 0.9514123133126661 0.9573863181046046 0.9579894883542444 0.9597305862876028
0.9 0.9829059628945467 0.9537545796266569 0.9607633121598547 0.9604151144833185 0.962664408259074
0.92 0.9869902437210386 0.9563239524736621 0.9629796856556618 0.9624955758911552 0.9645470770762186
0.9400000000000001 0.9901943394401137 0.958483924078449 0.9639036522095893 0.9644633970803387 0.9656785497860111
0.96 0.9913549896992169 0.9586103697759888 0.9640222442384356 0.9658324398888665 0.9663208630784996
0.98 0.9911699670982488 0.9596993761539089 0.9632933543961318 0.9669315987310708 0.9669334589462358
