dtau delta_E_D_max_2 delta_E_D_max_4 delta_E_D_max_6
0.5 0.007463314644134517 0.0029151471322436087 0.0029028575435996623
0.33812166890312056 0.005807485999275781 0.0009955281611626979 0.0009613710522302354
0.22865252596366312 0.005551759612418187 0.00032346965081676566 0.0002771884212291657
0.15462474735549586 0.0058522561264540965 0.00013413510506584493 8.217708676070655e-05
0.10456395525912729 0.005184862869182423 9.003626691404683e-05 3.446661181741146e-05
0.07071067811865475 0.005010432304890787 7.937415320608015e-05 2.6851514601732314e-05
0.04781762498950186 0.004564419617233287 8.372216150551391e-05 2.691737437252336e-05
0.03233635032886786 0.005389046383785169 9.532028038944631e-05 2.806788942657911e-05
0.021867241478865564 0.00553627314839841 0.00011090538976235298 4.662228693610893e-05
0.014787576366283134 0.005663810306732412 0.00011117831496402955 5.9851465852675514e-05
0.01 0.005763038158035988 0.00011811764944768134 7.187036483807909e-05
