dtau delta_E_D_max_2 delta_E_D_max_4 delta_E_D_max_6
0.5 0.007911125086075811 0.004012592695356063 0.003007665674117284
0.33812166890312056 0.006811692093224395 0.0021788135976390658 0.0010831758752317163
0.22865252596366312 0.006684181101404847 0.001633903776035606 0.00043433128197263354
0.15462474735549586 0.007459934655642666 0.001465593540085326 0.00024347542053687688
0.10456395525912729 0.008201670199765443 0.0013842649363751587 0.00021018082204175937
0.07071067811865475 0.00853551767031517 0.001690770856918419 0.00019961092026332298
0.04781762498950186 0.008588175047352731 0.0015298295898383745 0.0002427936153783931
0.03233635032886786 0.008925791917548618 0.0015787305049052454 0.0002622451504777757
0.021867241478865564 0.009199287555706264 0.001592481958633517 0.00027954511529326985
0.014787576366283134 0.00925925507822861 0.0016750370987897013 0.0003010502867017907
0.01 0.009445876056359293 0.0017843654323128784 0.00036614565465621
