N_iter trunc_error
0 0.0015526807048516491
20 0.0014751221337391206
40 0.0014593426752367868
60 0.0014506762780227157
80 0.0014432747138658063
100 0.0014361436994943216
120 0.0014294424827674557
140 0.001423450016188386
160 0.001418154852943084
180 0.0014133982699794294
200 0.0014089857394109435
220 0.0014047423715774778
240 0.001400555198689459
260 0.0013963961503177197
280 0.0013923020787409168
300 0.0013883279433459887
320 0.0013845126288586662
340 0.0013808702596144176
360 0.00137739595216932
380 0.0013740742338924962
400 0.0013708853371073376
420 0.0013678086880056675
440 0.0013648237648083619
460 0.001361908172367642
480 0.0013590322915710846
500 0.001356149531314082
520 0.0013531840804158193
540 0.001350044610240365
560 0.0013467465236775972
580 0.0013434509003681838
600 0.001340194256092361
620 0.0013369532949928122
640 0.0013337662877102613
660 0.0013307167075344475
680 0.0013278878453795238
700 0.0013253072978522957
720 0.0013229337761203892
740 0.0013206893662552894
760 0.0013184908738720661
780 0.0013162617978114593
800 0.0013139359947624432
820 0.0013114656488356288
840 0.0013088382731769764
860 0.001306095732017562
880 0.0013033351845960243
900 0.001300675637206341
920 0.0012982067629587432
940 0.0012959620727885884
960 0.0012939306494338606
980 0.0012920825129536975
1000 0.0012903857835740594
1020 0.0012888132523917455
1040 0.001287343355972643
1060 0.0012859593296575518
1080 0.0012846481127527848
1100 0.0012833994375684844
1120 0.0012822051444813822
1140 0.0012810586761556999
1160 0.0012799547015789434
1180 0.001278888833669446
1200 0.001277857415581908
1220 0.0012768573584371276
1240 0.0012758860180599482
1260 0.001274941101504913
1280 0.0012740205963655503
1300 0.0012731227174775561
1320 0.001272245866848399
1340 0.0012713886035875595
1360 0.001270549621346759
1380 0.0012697277313531243
1400 0.0012689218495667124
1420 0.001268130986841956
1440 0.001267354241243246
1460 0.0012665907918731323
1480 0.001265839893733041
1500 0.0012651008732592337
1520 0.0012643731242724594
1540 0.001263656104152221
1560 0.0012629493301032865
1580 0.0012622523754257748
1600 0.0012615648657342301
1620 0.0012608864750980986
1640 0.001260216922097018
1660 0.001259555965801322
1680 0.0012589034017007757
1700 0.0012582590576147913
1720 0.0012576227896242483
1740 0.00125699447806925
1760 0.001256374023659537
1780 0.0012557613437436017
1800 0.0012551563687807194
1820 0.001254559039055342
1840 0.001253969301668182
1860 0.0012533871078309836
1880 0.0012528124104845206
1900 0.0012522451622509335
1920 0.001251685313723581
1940 0.0012511328120893043
1960 0.0012505876000711627
1980 0.0012500496151729957
2000 0.0012495187892020028
2020 0.0012489950480417526
2040 0.0012484783116447538
2060 0.0012479684942126638
2080 0.0012474655045314478
2100 0.0012469692464296884
2120 0.0012464796193293966
2140 0.0012459965188613197
2160 0.0012455198375187781
2180 0.0012450494653277837
2200 0.001244585290513708
2220 0.0012441272001484933
2240 0.0012436750807651572
2260 0.001243228818929727
2280 0.0012427883017629934
2300 0.00124235341740729
2320 0.0012419240554355712
2340 0.0012415001072018281
2360 0.0012410814661334409
2380 0.0012406680279673794
2400 0.0012402596909331014
2420 0.0012398563558855818
