dtau delta_E_D_max_2 delta_E_D_max_4 delta_E_D_max_6
0.049999999999999996 0.004684590262193109 0.0009045904726231957 0.0008897899027709306
0.03381216689031207 0.004175694119801505 0.00042706333275569343 0.0004120075944086593
0.022865252596366313 0.004062946918105287 0.00021553950366994234 0.00019165889414649847
0.015462474735549587 0.006432188204835573 0.00012227157947500462 9.179649808957628e-05
0.010456395525912729 0.0038205557754757017 8.80671147046594e-05 4.8713044322769826e-05
0.0070710678118654745 0.003955165125841753 7.768321875971554e-05 3.1644068189738704e-05
0.004781762498950186 0.008340313179504281 9.646036338407361e-05 2.6211680593485683e-05
0.0032336350328867882 0.008666256002219788 0.00017274169660897275 3.135369005461071e-05
0.002186724147886555 0.009567001661911712 0.00018761979714974555 4.620713895023454e-05
0.001478757636628315 0.009818200114697497 0.0002605165841331738 5.741155212291489e-05
0.001 0.010588018602089484 0.0003182207641353786 6.977247134781163e-05
