N_iters walltime_cg f_trunc_cg walltime_approx_cg f_trunc_approx_cg walltime_trm f_trunc_trm walltime_approx_trm f_trunc_approx_trm
95 5.99987534852652 1.6632653991065743e-06 1.2100009508542606 1.4806885182200712e-06 26.832960274788764 1.2767186872463757e-06 3.2723845813896033 1.2373227035900708e-06
100 6.315658261606863 1.6585548088330165e-06 1.2736852114255375 1.4806885182200712e-06 28.24522134188291 1.2657277575109654e-06 3.4446153488311615 1.2364436106901971e-06
105 6.631441174687206 1.6546035540276889e-06 1.3373694719968143 1.4806885182200712e-06 29.657482408977053 1.2537043558729634e-06 3.6168461162727192 1.2350218190020232e-06
110 6.947224087767549 1.6504928589559172e-06 1.4010537325680912 1.4806885182200712e-06 31.0697434760712 1.2513308957545742e-06 3.7890768837142774 1.2319194674883486e-06
115 7.263007000847892 1.6468464382613363e-06 1.464737993139368 1.4806885182200712e-06 32.482004543165345 1.2419225270078808e-06 3.9613076511558356 1.2285982203708095e-06
120 7.578789913928236 1.6430997119652935e-06 1.5284222537106449 1.4806885182200712e-06 33.89426561025949 1.2295678066845332e-06 4.133538418597394 1.227898400955802e-06
125 7.894572827008579 1.6397800008299856e-06 1.5921065142819217 1.4806885182200712e-06 35.30652667735364 1.2166269871729403e-06 4.305769186038952 1.226043495253738e-06
130 8.210355740088922 1.6363560458794337e-06 1.6557907748531986 1.4806885182200712e-06 36.71878774444778 1.2142442914043066e-06 4.47799995348051 1.2252688288446997e-06
135 8.526138653169266 1.6334401347512716e-06 1.7194750354244754 1.4806885182200712e-06 38.13104881154193 1.2134090457601574e-06 4.6502307209220675 1.2246560482283528e-06
140 8.841921566249608 1.621985790513865e-06 1.7831592959957523 1.4806885182200712e-06 39.54330987863607 1.2121259639164546e-06 4.822461488363626 1.2233322726667091e-06
145 9.15770447932995 1.6189410950539843e-06 1.8468435565670291 1.4806885182200712e-06 40.955570945730216 1.207747857448732e-06 4.994692255805184 1.2226665741544828e-06
150 9.473487392410295 1.6096578326283449e-06 1.9105278171383062 1.4806885182200712e-06 42.367832012824366 1.2028384225220897e-06 5.166923023246742 1.2216067589554572e-06
155 9.789270305490637 1.6071279644703308e-06 1.974212077709583 1.4806885182200712e-06 43.78009307991851 1.2003516645607176e-06 5.3391537906883 1.218557970576083e-06
160 10.10505321857098 1.6047930803195402e-06 2.0378963382808597 1.4806885182200712e-06 45.19235414701265 1.2000876385382075e-06 5.511384558129858 1.2180894556422272e-06
165 10.420836131651324 1.5970807867349166e-06 2.1015805988521365 1.4806885182200712e-06 46.6046152141068 1.1874853768038344e-06 5.683615325571417 1.216687974347137e-06
170 10.736619044731667 1.59030652118618e-06 2.1652648594234134 1.4806885182200712e-06 48.01687628120094 1.1856319460187313e-06 5.855846093012974 1.2161080096499945e-06
