N_iters walltime_cg f_Renyi_cg walltime_approx_cg f_Renyi_approx_cg walltime_trm f_Renyi_trm walltime_approx_trm f_Renyi_approx_trm
0 0.0 0.3742192521984901 0.0 0.3742192521984901 0.0 0.3742192521984901 0.0 0.3742192521984901
5 0.3354022326645675 0.37030857465912953 0.09315266356720671 0.36957730916067466 2.11896035101983 0.36340461384514694 0.11054976241333739 0.37277119632037875
10 0.670804465329135 0.3678627567616738 0.18630532713441342 0.3691980046509981 4.23792070203966 0.3589714952198865 0.22109952482667478 0.36605615221998167
15 1.0062066979937023 0.3673890834045423 0.27945799070162014 0.3690728150223968 6.35688105305949 0.357437866500836 0.3316492872400122 0.35748753131220384
20 1.34160893065827 0.3670227128808086 0.37261065426882684 0.36851736280082414 8.47584140407932 0.35591492610406733 0.44219904965334955 0.3563547117442733
25 1.6770111633228373 0.3637421081168846 0.4657633178360336 0.36832822050763553 10.59480175509915 0.355306715138587 0.5527488120666869 0.35627491097530906
30 2.0124133959874047 0.3579305832661406 0.5589159814032403 0.3681597066884584 12.71376210611898 0.3548590181078807 0.6632985744800244 0.3562002471651496
35 2.3478156286519725 0.3571589038630238 0.652068644970447 0.36752434939223505 14.832722457138809 0.3547051688217028 0.7738483368933617 0.356133862674682
40 2.68321786131654 0.35696631887340285 0.7452213085376537 0.36732601551582206 16.95168280815864 0.35468169224161306 0.8843980993066991 0.35601254584090497
45 3.018620093981107 0.35691234263887534 0.8383739721048604 0.3666704935354727 19.07064315917847 0.35461914183118637 0.9949478617200365 0.3558669956763522
50 3.3540223266456746 0.3568338075750067 0.9315266356720672 0.3665056751179296 21.1896035101983 0.3545126357086521 1.1054976241333738 0.35575404138597017
55 3.689424559310242 0.3565627423938355 1.024679299239274 0.3663621164591766 23.30856386121813 0.3544953297515093 1.2160473865467112 0.35573135992981025
60 4.024826791974809 0.35626403158247716 1.1178319628064806 0.36618988785550555 25.42752421223796 0.35446812458859894 1.3265971489600488 0.35569431137929003
65 4.360229024639377 0.3561999747751033 1.2109846263736872 0.36567365818660624 27.54648456325779 0.3544118886342625 1.4371469113733861 0.35570799563727157
70 4.695631257303945 0.3561470876409768 1.304137289940894 0.36484246843006 29.665444914277618 0.35440708299245094 1.5476966737867235 0.355675973962602
75 5.031033489968512 0.3561231138195344 1.3972899535081007 0.36386530182153054 31.784405265297448 0.3543999040508118 1.6582464362000608 0.35567125040927433
80 5.36643572263308 0.35611287258862523 1.4904426170753073 0.3637413970804221 33.90336561631728 0.35435355975849575 1.7687961986133982 0.35565042807459996
85 5.701837955297647 0.3560584370486615 1.5835952806425142 0.36320908323150225 36.02232596733711 0.3543416889090217 1.8793459610267356 0.3556128395261572
90 6.037240187962214 0.3560483455278879 1.6767479442097208 0.363073259308875 38.14128631835694 0.35433712340728074 1.989895723440073 0.3555676922799914
95 6.372642420626782 0.3560387944966554 1.7699006077769275 0.3629632444746957 40.26024666937677 0.3543351022132149 2.1004454858534105 0.3555676922799914
100 6.708044653291349 0.35589122673796364 1.8630532713441343 0.36280836947654416 42.3792070203966 0.35433123270494987 2.2109952482667476 0.3555676922799914
105 7.043446885955917 0.35585590904249786 1.956205934911341 0.36266947520684595 44.49816737141643 0.35432604753927915 2.3215450106800852 0.3555676922799914
110 7.378849118620484 0.35583499714006445 2.049358598478548 0.3619905029884376 46.61712772243626 0.3543201233488869 2.4320947730934224 0.3555676922799914
115 7.714251351285052 0.3558270164220417 2.1425112620457543 0.3607690921691767 48.73608807345609 0.3543176844929079 2.54264453550676 0.3555676922799914
120 8.049653583949619 0.3558141632223186 2.235663925612961 0.35706395276339914 50.85504842447592 0.354316643028485 2.6531942979200975 0.3555676922799914
125 8.385055816614187 0.35580138210296397 2.328816589180168 0.3564427180842193 52.97400877549575 0.3543136624605437 2.7637440603334347 0.3555676922799914
130 8.720458049278754 0.35571287639569654 2.4219692527473744 0.35635374636108097 55.09296912651558 0.3543022583284009 2.8742938227467723 0.3555676922799914
135 9.055860281943321 0.35566463342048044 2.5151219163145813 0.3563429922818293 57.211929477535406 0.35428659589376527 2.9848435851601094 0.3555676922799914
140 9.39126251460789 0.35564709791072613 2.608274579881788 0.35633943731222806 59.330889828555236 0.35427065465159624 3.095393347573447 0.3555676922799914
145 9.726664747272457 0.35563088232883955 2.7014272434489945 0.35633943731222806 61.449850179575066 0.3542111985667018 3.205943109986784 0.3555676922799914
150 10.062066979937024 0.3556261133549305 2.7945799070162014 0.35633943731222806 63.568810530594895 0.35417516572189767 3.3164928724001217 0.3555676922799914
155 10.39746921260159 0.35561987556967795 2.8877325705834083 0.35633943731222806 65.68777088161472 0.3541728372930947 3.427042634813459 0.3555676922799914
160 10.73287144526616 0.35559842088262017 2.9808852341506147 0.35633943731222806 67.80673123263456 0.35415159197366075 3.5375923972267964 0.3555676922799914
165 11.068273677930726 0.3555863555150799 3.0740378977178215 0.35633943731222806 69.92569158365438 0.35414158404319507 3.648142159640134 0.3555676922799914
170 11.403675910595293 0.35557879596621805 3.1671905612850284 0.35633943731222806 72.04465193467422 0.3541393499649427 3.758691922053471 0.3555676922799914
175 11.739078143259862 0.35557244597129833 3.260343224852235 0.35633943731222806 74.16361228569404 0.35413528513045195 3.8692416844668087 0.3555676922799914
180 12.074480375924429 0.35557071129862794 3.3534958884194417 0.35633943731222806 76.28257263671388 0.35412401384199305 3.979791446880146 0.3555676922799914
185 12.409882608588996 0.35556691798415335 3.4466485519866485 0.35633943731222806 78.4015329877337 0.35412220788341103 4.090341209293483 0.3555676922799914
