N_iter t trunc_error
0 0.0038254411220550537 0.0015526807048516491
1 0.0076508822441101075 0.0015375503320779623
2 0.01147632336616516 0.0015266031022716658
3 0.015301764488220215 0.0015182981215364148
4 0.01912720561027527 0.0015118296706828512
5 0.02295264673233032 0.0015066971113512663
6 0.026778087854385377 0.0015025485388921666
7 0.03060352897644043 0.0014991229158362825
8 0.034428970098495486 0.0014962247003539356
9 0.03825441122055054 0.001493708535911918
10 0.04207985234260559 0.0014914677962472908
11 0.04590529346466064 0.001489425544967396
12 0.049730734586715696 0.0014875274823070294
13 0.053556175708770755 0.0014857365350159607
14 0.05738161683082581 0.0014840287101277666
15 0.06120705795288086 0.0014823898486498984
16 0.06503249907493591 0.0014808129856387529
17 0.06885794019699097 0.001479296122577223
18 0.07268338131904602 0.0014778403189527195
19 0.07650882244110108 0.001476448089210795
20 0.08033426356315612 0.0014751221337391206
21 0.08415970468521118 0.0014738644351865126
22 0.08798514580726624 0.0014726757238835656
23 0.09181058692932129 0.001471555276104261
24 0.09563602805137635 0.0014705009743252243
25 0.09946146917343139 0.0014695095408903465
26 0.10328691029548645 0.0014685768579415929
27 0.10711235141754151 0.001467698302422341
28 0.11093779253959656 0.0014668690477074677
29 0.11476323366165161 0.0014660843059876307
30 0.11858867478370666 0.0014653395035913914
31 0.12241411590576172 0.0014646303934120707
32 0.12623955702781678 0.0014639531149617244
33 0.13006499814987182 0.0014633042146925284
34 0.13389043927192687 0.0014626806386816014
35 0.13771588039398194 0.0014620797078827557
36 0.141541321516037 0.0014614990838131966
37 0.14536676263809203 0.001460936730307917
38 0.1491922037601471 0.0014603908750896346
39 0.15301764488220215 0.0014598599734440816
40 0.1568430860042572 0.0014593426752367868
41 0.16066852712631224 0.0014588377957895095
42 0.16449396824836732 0.0014583442906765081
43 0.16831940937042236 0.001457861234230438
44 0.1721448504924774 0.0014573878014060692
45 0.17597029161453248 0.0014569232525936404
46 0.17979573273658753 0.0014564669209673798
47 0.18362117385864257 0.0014560182019804065
48 0.18744661498069765 0.001455576544655453
49 0.1912720561027527 0.0014551414443668396
50 0.19509749722480774 0.0014547124368525922
51 0.19892293834686278 0.0014542890932382052
52 0.20274837946891786 0.0014538710158906927
53 0.2065738205909729 0.0014534578349531437
54 0.21039926171302795 0.001453049205438221
55 0.21422470283508302 0.001452644804780676
56 0.21805014395713807 0.0014522443307688612
57 0.2218755850791931 0.0014518474997899356
58 0.22570102620124818 0.0014514540453357165
59 0.22952646732330323 0.0014510637167272258
60 0.23335190844535827 0.0014506762780227157
61 0.23717734956741332 0.001450291507081349
62 0.2410027906894684 0.0014499091947595205
63 0.24482823181152344 0.0014495291442210658
64 0.24865367293357848 0.0014491511703453577
65 0.25247911405563356 0.0014487750992203533
66 0.2563045551776886 0.0014484007677093291
67 0.26012999629974365 0.00144802802308141
68 0.2639554374217987 0.001447656722697706
69 0.26778087854385374 0.0014472867337448497
70 0.2716063196659088 0.0014469179330093118
71 0.2754317607879639 0.0014465502066856276
72 0.2792572019100189 0.001446183450212511
73 0.283082643032074 0.0014458175681305026
74 0.28690808415412905 0.0014454524739557725
75 0.29073352527618407 0.0014450880900638806
76 0.29455896639823914 0.0014447243475783956
77 0.2983844075202942 0.0014443611862587837
