dtau delta_E_D_max_2 delta_E_D_max_4 delta_E_D_max_6
0.5 0.006910223535413323 0.0040273104776507775 0.0040224828680098515
0.33812166890312056 0.00472611324677686 0.0013732781947428125 0.0013599857426150198
0.22865252596366312 0.0035273458031836223 0.0004067610269657842 0.0003879833741472747
0.15462474735549586 0.003175807445549797 0.00011357316987433958 9.8360542850423e-05
0.10456395525912729 0.0030740810432024865 3.713736336045922e-05 2.3717663719992642e-05
0.07071067811865475 0.0030887177788485785 2.1505506545020744e-05 7.186361642587885e-06
0.04781762498950186 0.0032146597670881004 2.3749853829293745e-05 3.786368631725053e-06
0.03233635032886786 0.003404204958727216 2.6539279987750776e-05 4.3456862438835595e-06
0.021867241478865564 0.0036598277911687065 3.909550380652511e-05 6.314660815561324e-06
0.014787576366283134 0.003952671928951218 5.142829412601879e-05 8.723807093374447e-06
0.01 0.004250218781795368 9.10348317305568e-05 1.2174116248798245e-05
