dtau delta_E_D_max_2 delta_E_D_max_4 delta_E_D_max_6
0.5 0.010560177366065984 0.004135114664007333 0.004027602342730829
0.33812166890312056 0.008822899443167331 0.001500407899769101 0.001368794797691601
0.22865252596366312 0.00787117652889074 0.0005429905113038273 0.0003977878856941856
0.15462474735549586 0.007733839972163983 0.0002837476134008195 0.00011097293393464263
0.10456395525912729 0.007740846377833683 0.00022153348427920584 3.6812818822548745e-05
0.07071067811865475 0.008512479742904429 0.00023898558542177713 2.102290267911275e-05
0.04781762498950186 0.009671588972508728 0.00028974036190500626 1.8377495127539785e-05
0.03233635032886786 0.010553844589899792 0.000367765598973324 2.2926758090635165e-05
0.021867241478865564 0.012176467003863113 0.00046950470075481483 2.6584703991196462e-05
0.014787576366283134 0.01353429947052781 0.0006009438274750077 3.217747272146095e-05
0.01 0.015867464909198426 0.0008558522321062999 4.95262913747801e-05
