dtau delta_E_D_max_2 delta_E_D_max_4 delta_E_D_max_6
0.5 0.007110041846927746 0.004017183527429154 0.0040186130017470624
0.33812166890312056 0.004836545730664528 0.0013805019355564365 0.001358236318796996
0.22865252596366312 0.0035962879338367576 0.00040405025015924996 0.00038801656632761537
0.15462474735549586 0.003169870757222881 0.00011045429389805696 9.827599834006297e-05
0.10456395525912729 0.0031013744363707634 3.688916462003077e-05 2.379908732798238e-05
0.07071067811865475 0.0030963148900212756 2.1883172100281536e-05 6.990039713265517e-06
0.04781762498950186 0.003444623346240142 2.149045244867941e-05 3.7482698033072494e-06
0.03233635032886786 0.004071598214238054 2.627815456564654e-05 4.6079137588407485e-06
0.021867241478865564 0.004713975130116398 3.536230655716089e-05 6.167621223509875e-06
0.014787576366283134 0.005341724484681847 5.4730057157024345e-05 8.08724700966657e-06
0.01 0.00561777838379566 7.805139049121581e-05 1.2793941744880112e-05
