dtau delta_E_D_max_2 delta_E_D_max_4 delta_E_D_max_6
0.5 0.0068160723554208155 0.0040685254233918345 0.004023693217787324
0.33812166890312056 0.00459756137737263 0.0014041017599915053 0.0013631131474189664
0.22865252596366312 0.0037028184447252524 0.0004269780512760307 0.0003906360122032785
0.15462474735549586 0.0035173580023164564 0.00013637575496338366 0.00010103632407851367
0.10456395525912729 0.003743362039365188 5.9537380051212366e-05 2.743468261638033e-05
0.07071067811865475 0.004491275933019724 4.565167694982002e-05 1.106236950474449e-05
0.04781762498950186 0.007889612101534998 4.647580856747261e-05 8.229122239831483e-06
0.03233635032886786 0.008871186910703632 5.5489617346749686e-05 1.007993778947331e-05
0.021867241478865564 0.01129087395403134 6.846272559784644e-05 1.3175072546034498e-05
0.014787576366283134 0.010984247135013923 0.00011623703680930463 1.6423141897764912e-05
0.01 0.012586735368824332 0.0001572857141185525 2.2390000821167923e-05
