dtau delta_E_D_max_2 delta_E_D_max_4 delta_E_D_max_6
0.5 0.012698764624168761 0.005316239742366768 0.004715337203607602
0.33812166890312056 0.009845360505169433 0.003077680799045399 0.002128034510830549
0.22865252596366312 0.009126908110266552 0.0020154015094930354 0.0011815518250419094
0.15462474735549586 0.008587621512630761 0.0018502439615676216 0.0009580605677880291
0.10456395525912729 0.008358287618320541 0.0018303262954759178 0.0009590977880151944
0.07071067811865475 0.007979743596100989 0.0019838846261230137 0.0010298836505002677
0.04781762498950186 0.007996387953195077 0.002138166916266291 0.0011650359837493613
0.03233635032886786 0.007855156737714102 0.0023178903732677903 0.0013641271908318463
0.021867241478865564 0.008101209682324285 0.0027427016339311005 0.0016518372567561456
0.014787576366283134 0.00848011457179795 0.0032710337439593807 0.0019173172924954556
0.01 0.008911492109701127 0.003806802467393821 0.002124460159352342
