dtau delta_E_D_max_2 delta_E_D_max_4 delta_E_D_max_6
0.5 0.011920880670375703 0.004141201674240353 0.0040382662312501445
0.33812166890312056 0.010083794908789384 0.0014959524087935006 0.0013728235915598799
0.22865252596366312 0.008632448661456004 0.0005642325482035252 0.0004122918387828347
0.15462474735549586 0.008671325474378612 0.0003029510200280094 0.00011837073982485595
0.10456395525912729 0.009375630234038708 0.0002635305121297114 4.619714130754327e-05
0.07071067811865475 0.010601247079373667 0.00026457217107071556 3.3962772876230935e-05
0.04781762498950186 0.010347587722955723 0.0003216394642665302 2.9915740145923836e-05
0.03233635032886786 0.012157700159476321 0.0003955725779068675 2.8997603772625175e-05
0.021867241478865564 0.013903363670991048 0.0005132033240913579 4.7145688336778123e-05
0.014787576366283134 0.014565891680212224 0.0006954672502253661 5.6825812795135015e-05
0.01 0.015555186178793583 0.0008466702679300754 8.554116580831865e-05
