dtau delta_E_D_max_2 delta_E_D_max_4 delta_E_D_max_6
0.5 0.006943927080515498 0.004035024390575528 0.0040233431849729
0.33812166890312056 0.004817798191712098 0.0013793727865453753 0.0013594314064670407
0.22865252596366312 0.003582842046722821 0.0004082979978220123 0.00038917031597936544
0.15462474735549586 0.0032157870771239356 0.00011839521648425955 9.903394944113811e-05
0.10456395525912729 0.0031258301598641684 4.2889080030418574e-05 2.468453230653698e-05
0.07071067811865475 0.003278678637572009 2.7544036801659243e-05 7.74915707513285e-06
0.04781762498950186 0.0035699949274793077 2.890008198278379e-05 5.001702765511024e-06
0.03233635032886786 0.00424646121671116 3.489436486719848e-05 5.022949414848596e-06
0.021867241478865564 0.0050329424868169985 4.7797314723587527e-05 7.513305700642686e-06
0.014787576366283134 0.005899170149042701 6.279897259416064e-05 9.954125450733425e-06
0.01 0.007435061854414156 8.305350925016795e-05 1.4448384637981575e-05
