dtau delta_E_D_max_2 delta_E_D_max_4 delta_E_D_max_6
0.5 0.00690994093690217 0.004057957423847893 0.004021127487863502
0.33812166890312056 0.004855495695900898 0.0013779349175155298 0.0013591474202301504
0.22865252596366312 0.0035570755219566565 0.00040444854903523293 0.00038847361481310306
0.15462474735549586 0.003144848356576659 0.00011232490661443387 9.835517187986862e-05
0.10456395525912729 0.0030707137903045007 3.6937683998814655e-05 2.415238439839062e-05
0.07071067811865475 0.0030908067545981906 2.3086250472854804e-05 7.592833492985844e-06
0.04781762498950186 0.003211044836312504 2.260356158604804e-05 4.529548582377562e-06
0.03233635032886786 0.003406249365129296 2.784296843065732e-05 5.058673983471244e-06
0.021867241478865564 0.0036594270016033622 3.789230896435853e-05 7.150160586719273e-06
0.014787576366283134 0.004142095199928275 5.772775580754398e-05 1.0264351145601366e-05
0.01 0.0044626513286886525 7.481447324470503e-05 1.3400604170165476e-05
