dtau delta_E_D_max_2 delta_E_D_max_4 delta_E_D_max_6
0.5 0.011419893608075195 0.004213855821860606 0.004028408891425892
0.33812166890312056 0.00955707846008312 0.001520523214849428 0.001369315152123687
0.22865252596366312 0.008871127173253422 0.0005766706016767985 0.00040128936020088695
0.15462474735549586 0.008763417652100881 0.00038023914475538725 0.00011139649954496384
0.10456395525912729 0.009125799536601408 0.00023395453762797619 3.884772691980911e-05
0.07071067811865475 0.010029086823817155 0.0002765114850968956 2.0293201686778695e-05
0.04781762498950186 0.011406058209800056 0.0003097106715414874 2.3235571195020966e-05
0.03233635032886786 0.013106293210922123 0.00036740977677621834 2.3123689777821143e-05
0.021867241478865564 0.013535394883056714 0.0005786984686356239 2.6835395495759907e-05
0.014787576366283134 0.015949629861812063 0.0008676212043173924 3.5539806362620576e-05
0.01 0.016134775546238985 0.0010492390278095919 7.208968909957144e-05
