dtau delta_E_D_max_2 delta_E_D_max_4 delta_E_D_max_6
0.5 0.013921227599467317 0.005158002001294354 0.00408739027083194
0.33812166890312056 0.011011794446750057 0.0026052665723999948 0.0014490763514172869
0.22865252596366312 0.011339396373190895 0.001451195999040726 0.0005125083509269502
0.15462474735549586 0.010293040335874202 0.0010181714509534708 0.0003110883092182041
0.10456395525912729 0.00915058155435266 0.0010338295446543544 0.0002740429903949228
0.07071067811865475 0.011476036477561895 0.00119738349981185 0.00028528994522723783
0.04781762498950186 0.0103042541790503 0.00133138488990897 0.00032123859710001494
0.03233635032886786 0.011579410550916137 0.0015066422238744924 0.0004444558346958934
0.021867241478865564 0.010738635072965125 0.0017981600931728445 0.00047966068787225224
0.014787576366283134 0.01097473721970265 0.001826412841377126 0.0005413334805015635
0.01 0.010488600743792981 0.0020086494705976476 0.0006040651102586806
