dtau delta_E_D_max_2 delta_E_D_max_4 delta_E_D_max_6
0.5 0.007915512686664683 0.004317344586822692 0.0042856391386205585
0.33812166890312056 0.005349915168981717 0.0014399389342102283 0.001379464801111292
0.22865252596366312 0.004402533974105205 0.0004787361153874469 0.00039335840137345396
0.15462474735549586 0.0041019256603047095 0.00020153022499606386 0.00011869408165137495
0.10456395525912729 0.004052839488282043 0.00013795328460847965 4.9256804851208566e-05
0.07071067811865475 0.004039604430223504 0.00013206490822109858 3.636683826672325e-05
0.04781762498950186 0.004178694128472349 0.00013793883412452292 3.677971113539846e-05
0.03233635032886786 0.004513018319821789 0.0001705621699097662 4.58947645573739e-05
0.021867241478865564 0.004868824571912411 0.00021140786622424334 5.87139888063968e-05
0.014787576366283134 0.005086166593709124 0.0002585513100001794 8.059868284332392e-05
0.01 0.005040538613024588 0.0003351419442841127 0.00010619885051138195
