dtau delta_E_D_max_2 delta_E_D_max_4 delta_E_D_max_6
0.5 0.007051624882276789 0.004017510371343595 0.004022782019668716
0.33812166890312056 0.004815393054165739 0.001378177931159597 0.0013587884894576384
0.22865252596366312 0.0036030282127287212 0.00040663343171601005 0.00038850969217155894
0.15462474735549586 0.003180823689929575 0.00011308494371021524 9.876877953757955e-05
0.10456395525912729 0.0030978120822437853 3.7675018182132064e-05 2.4177365565041955e-05
0.07071067811865475 0.0031821087202603374 2.261019919380294e-05 7.419664505652265e-06
0.04781762498950186 0.003473626458597359 2.3058543073690593e-05 4.7225791262528895e-06
0.03233635032886786 0.003969613278645956 3.3479690967549354e-05 5.020471401643642e-06
0.021867241478865564 0.004743774021259874 4.1098011886167837e-05 7.574909556235487e-06
0.014787576366283134 0.005258441698687255 5.930484910101767e-05 9.459520954084794e-06
0.01 0.005921619402426322 7.605893114037471e-05 1.4766575277392753e-05
