t_YB_isoTPS sz_YB_isoTPS_D_2 sz_YB_isoTPS_D_3 sz_YB_isoTPS_D_4 sz_YB_isoTPS_D_5 sz_YB_isoTPS_D_6
0.0 1.0 1.0 1.0 1.0 1.0
0.02 0.9982353443488183 0.9968306370523428 0.9968334953745589 0.996821633959852 0.9968152112922872
0.04 0.9928300295778764 0.9875417590404233 0.9875623467181043 0.9875136425910043 0.9875012500091528
0.06 0.983328176283274 0.9728890289805926 0.9728476251097963 0.97276512047554 0.9727449514217346
0.08 0.9714518549255998 0.9540665540453882 0.9538274240101116 0.9536435571541922 0.953626301958142
0.1 0.9628300591592255 0.9326866622168063 0.9316502204478363 0.9315055683975013 0.9314731056184702
0.12 0.9523540430273195 0.9102454835527841 0.9080820033553265 0.9078311226502729 0.9078304801225179
0.14 0.944586037876357 0.8885687279980301 0.8845125295323637 0.8841719498968231 0.8841910661141771
0.16 0.9354004001108405 0.8692631302326347 0.8624900824988656 0.8618621662515223 0.8619183680806677
0.18 0.9276628652097852 0.8525989126448683 0.8430300993002122 0.8421445564801193 0.8422519101691106
0.2 0.9236846653803076 0.8400929643247105 0.8271472834051888 0.8261704030708586 0.8261429714850569
0.22 0.9240993673481938 0.8311319247842394 0.8154635634305688 0.8146094538211287 0.8143255333833652
0.24 0.9281947970605074 0.8262093799545769 0.8088366317666689 0.8079336111359914 0.8067298841134789
0.26 0.935112017403794 0.8257499596773831 0.8073710887288954 0.8052150039710186 0.8027249077459926
0.28 0.9417646897797654 0.8302579271707252 0.8106443943879338 0.8062104013684763 0.8020652009978366
0.3 0.9475521379048208 0.838755533724987 0.8175380712735881 0.8116979705242712 0.8048298406901896
0.32 0.9549134139606289 0.850894305313373 0.8282896861757474 0.8203702371517185 0.8101559293528129
0.34 0.9614635345540051 0.8630664089735599 0.8425825732878772 0.8317979987459208 0.8172252856812482
0.36 0.9651090648787076 0.875520991267487 0.8579995835976142 0.8426518967686533 0.8255451048741413
0.38 0.9668260370311235 0.889155358845725 0.8749067686182183 0.8552614207019045 0.8346178874269291
0.4 0.9680944093698212 0.9023460719096085 0.8900442368788873 0.8695803698945745 0.8458705573290305
0.42 0.9677914735562343 0.9159566122903899 0.9051113173882611 0.8832041008019342 0.8581581361023292
0.44 0.968306796577645 0.9289462456952844 0.9178234137578085 0.8951103414108252 0.8694648498002275
0.46 0.9686531989725461 0.9395568830560995 0.9280095971384494 0.9041246500252585 0.8797147661031414
0.48 0.968346746390278 0.9471958520661958 0.9360910690014856 0.9106906933744892 0.8878211210672121
0.5 0.9678409906679531 0.952406088205895 0.9408545539277261 0.914208152890235 0.8942202031574049
0.52 0.9661285752774427 0.9549119459636795 0.9433658516007452 0.9153863702800628 0.8992036479389935
0.54 0.9638370731886277 0.9565541055914457 0.9438404373943304 0.9157533324019841 0.9032895881932888
0.56 0.9615454273469873 0.9551307132559474 0.9430950592799109 0.9149208852650451 0.90658261870725
0.58 0.958493559927671 0.9534690949442127 0.9416099769509604 0.914086487699637 0.9094265299727723
0.6 0.9554919139139495 0.9509093599990432 0.940303611884323 0.9127567168074741 0.9119069055222849
0.62 0.9524223095647142 0.9480431918918233 0.940035792948679 0.9134992944531681 0.9136663552681138
0.64 0.949674420942629 0.9440478540315353 0.9403887033684123 0.9142190237350672 0.9162043359530926
0.66 0.9474610549763394 0.9413279990635355 0.9403072761223505 0.9157549799709052 0.9179793604436158
0.68 0.9440482299446675 0.9360556858051978 0.9389418461870305 0.9170921086270907 0.9189654210424972
0.7000000000000001 0.9403723032681736 0.9316004435825259 0.9386851614072474 0.9190168581691108 0.9191466094849129
0.72 0.9349603624871295 0.9268305778919173 0.9370649493382575 0.9204165190050339 0.9193383126292174
0.74 0.9297197804047832 0.9212395879682833 0.9354615514533595 0.9223230084998814 0.9193895185556581
0.76 0.9265926256077793 0.9164702030902657 0.9326763454640992 0.9239492149792947 0.918772972777077
0.78 0.924581645530437 0.9113645807233256 0.9293314001837333 0.9266146233547148 0.9175733516385464
0.8 0.9238787334803259 0.9076236859979478 0.9258442767395697 0.9277252237757235 0.9153005639360883
0.8200000000000001 0.923561455718406 0.9041955182238215 0.922234582154237 0.927731451753601 0.9126966736407723
0.84 0.9235293395952515 0.9021926035675166 0.9196736391019465 0.9267693436206548 0.9097306915466764
0.86 0.92331076639532 0.8999391248056974 0.9175729842924352 0.9248918940976373 0.9073847286267998
0.88 0.9232831869864009 0.8986881583781365 0.9141691123617539 0.9220854292027861 0.9044135554991433
0.9 0.9227182135721008 0.8979168065378857 0.9112888290650729 0.9194376033012831 0.9022174802440729
0.92 0.9215798677565681 0.8992994064172058 0.9086739774242129 0.9164704830005249 0.9005097618814119
0.9400000000000001 0.92301536980832 0.9012691837278487 0.9065457514240383 0.913929978198167 0.8995209353942599
0.96 0.9237436176121644 0.9044919400255294 0.9056133647480479 0.9111760876394284 0.8997098806224211
0.98 0.9226900974686886 0.9086831516380637 0.9041774371715073 0.9097010295054045 0.900221720031754
